"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/danielseidov/go/src/github.com/seedovan19/Agregator/javascript/auth.js", "JavaScript", 28, 0, 10, 38
"/Users/danielseidov/go/src/github.com/seedovan19/Agregator/javascript/form.js", "JavaScript", 19, 0, 1, 20
"/Users/danielseidov/go/src/github.com/seedovan19/Agregator/javascript/sign_up.js", "JavaScript", 28, 0, 5, 33
"Total", "-", 75, 0, 16, 91
